pair,product,break_date,closed_a_refinery_in_may_2021,pre_adjustment_speed,post_adjustment_speed,speed_ratio,interaction_p_value,cointegration_p_value,model_family,ecm_licensed,n_obs
PT-ES,diesel,2021-05-01,True,-0.14152122927799457,-0.5995147419959452,4.236217739589441,5.883217832547759e-08,4.348245362986022e-06,ecm_required,True,993.0
FR-ES,diesel,2021-05-01,False,-0.07124835412498906,-0.0708356603894645,0.9942076734179629,0.9904422805784574,0.0007620529252995501,ecm_required,True,993.0
IT-ES,diesel,2021-05-01,False,-0.025766290310114577,-0.10734629614336438,4.166152552477666,0.06389902295787966,0.4212871750969462,short_run_log_difference,False,993.0
DE-ES,diesel,2021-05-01,False,-0.2786413424301407,-0.04094950708150996,0.14696134724435794,0.0003466842017137312,0.07269764395145736,short_run_log_difference,False,993.0
BE-ES,diesel,2021-05-01,False,-0.42247214658616117,-0.46798213217615425,1.1077230438923422,0.623778549862222,0.000177828076980339,ecm_required,True,993.0
PT-ES,diesel,2022-12-05,True,-0.15326276646798936,-0.5032334071286149,3.283468116398126,0.0031366278429284422,4.348245362986022e-06,ecm_required,True,993.0
FR-ES,diesel,2022-12-05,False,-0.07073647205664284,-0.19670626665087004,2.7808323051983113,0.05816822339504465,0.0007620529252995501,ecm_required,True,993.0
IT-ES,diesel,2022-12-05,False,-0.027873810765384133,-0.2442972495562509,8.764400806639552,0.03930741651112492,0.4212871750969462,short_run_log_difference,False,993.0
DE-ES,diesel,2022-12-05,False,-0.1721858958994803,-0.1702647472313351,0.9888425898177704,0.9862415134574618,0.07269764395145736,short_run_log_difference,False,993.0
BE-ES,diesel,2022-12-05,False,-0.4148985662270684,-0.6223023883819861,1.499890428740138,0.02348911260149711,0.000177828076980339,ecm_required,True,993.0
